,SMILES,Name,MinimizedAffinity,MinimizedRMSD,Code,Predicted
91,COc1ccc(CNc2nc(Nc3ccc4[nH]ncc4c3)nc(n2)N5CC(O)C5)cc1OC,MCULE-5629114346,-7.51587,5.49951,comp92,0
92,NS(=O)(=O)c1ccc(CCNc2nc(Nc3ccc4cn[nH]c4c3)ncc2[N+](=O)[O-])cc1,MCULE-7692945108,-7.45127,4.00742,comp93,0
94,OC(=O)COc1ccc(N\C=C\2/C(=O)NC(=O)N(Cc3occc3)C2=O)cc1,MCULE-3372500248 PubChem-6797312,-7.44549,1.50957,comp95,0
95,[O-][N+](=O)c1ccc(NC(=O)c2cccc(NC(=O)CCC(=O)c3ccccc3)n2)cc1F,MCULE-1262246877,-7.44137,5.20966,comp96,0
96,COc1cccc(OCC(=O)Nc2cccc(n2)C(=O)Nc3ccc(cc3Cl)[N+](=O)[O-])c1,MCULE-3030775638,-7.43204,2.75098,comp97,0
97,CCN1CCN(CC1)c2nc(NCc3ccc(OC)c(OC)c3)nc(Nc4ccc5cc[nH]c5c4)n2,MCULE-3716366904,-7.40921,6.73916,comp98,0
98,COc1ccc(CNc2nc(Nc3ccc4nc[nH]c4c3)nc(n2)N5CCC(CO)CC5)cc1OC,MCULE-1615770994,-7.40657,6.23336,comp99,0
99,Cc1cc(NC(=O)c2cccc(NC(=O)CCC(=O)c3ccccc3)n2)ccc1[N+](=O)[O-],MCULE-9337766525,-7.36788,5.11034,comp100,0
101,CN(CCO)c1nc(NCCc2ccc(cc2)S(=O)(=O)N)nc(Nc3ccc4nc[nH]c4c3)n1,MCULE-7106520200,-7.3049,4.77683,comp102,0
102,COc1ccc(CNc2nc(Nc3ccc4cc[nH]c4c3)nc(n2)N5CCCCC5)cc1OC,MCULE-7846122942,-7.28418,5.45869,comp103,0
103,COc1ccc(CCNc2nc(Nc3ccc4cc[nH]c4c3)ncc2[N+](=O)[O-])cc1OC,MCULE-5411836753,-7.27116,2.63841,comp104,0
104,Cc1c(Nc2ncc(c(NCCCn3ccnc3)n2)[N+](=O)[O-])cccc1[N+](=O)[O-],MCULE-3089422618,-7.25746,3.99068,comp105,0
105,NS(=O)(=O)c1ccc(CCNc2ncc(Br)c(NCCc3c[nH]cn3)n2)cc1,MCULE-7841447868,-7.22905,3.87373,comp106,0
106,CC(C)CNc1nc(Nc2ccc(cc2)S(=O)(=O)N)nc(n1)N(C)Cc3ccccc3,MCULE-7862664794,-7.22002,2.57081,comp107,0
107,CN(CCO)c1nc(NCCc2ccc(cc2)S(=O)(=O)N)nc(Nc3ccc4cc[nH]c4c3)n1,MCULE-1421831010,-7.18489,5.09714,comp108,0
108,COc1ccc(CCNc2nc(NC(C)C)cc(n2)c3ccccc3)cc1OC,MCULE-2960253488 PubChem-112932689,-7.16627,3.54918,comp109,0
109,[O-][N+](=O)c1ccc(NC(=O)c2csc(NC(=O)OCc3ccccc3)n2)cc1F,MCULE-3765538239,-7.13164,4.01605,comp110,0
110,Fc1ccc(Cc2nc(NC(=O)c3cc(ccc3Cl)S(=O)(=O)N4CCCCC4)n[nH]2)cc1,MCULE-6029557275,-7.0574,3.42963,comp111,0
111,COc1ccc(CNc2nc(Nc3ccc4cn[nH]c4c3)nc(n2)N5CC(C)CC(C)C5)cc1OC,MCULE-3181384520,-7.05179,6.14324,comp112,0
113,COc1ccc(CNc2nc(Nc3ccc4nc[nH]c4c3)nc(n2)N(C)CCO)cc1OC,MCULE-1323973175,-7.00417,4.65323,comp114,0
114,COc1ccc(CNc2nc(Nc3ccc4cn[nH]c4c3)nc(n2)N5CCC(O)CC5)cc1OC,MCULE-2995111376,-6.97706,5.6981,comp115,0
116,Brc1cnc(NCc2ccc3OCOc3c2)nc1NCCc4c[nH]cn4,MCULE-4343394851,-6.87264,3.03342,comp117,0
117,[O-][N+](=O)c1cc(Nc2ncc(c(NCCCn3ccnc3)n2)[N+](=O)[O-])ccc1Cl,MCULE-7725738227,-6.83161,3.91615,comp118,0
118,COc1ccc(CNc2nc(Nc3ccc4nc[nH]c4c3)nc(n2)N5CCC(O)CC5)cc1OC,MCULE-6669447260,-6.79212,5.66059,comp119,0
119,Cn1ncc2c(Nc3ccc4cn[nH]c4c3)nc(NCc5ccc6OCOc6c5)nc12,MCULE-8061116127,-6.78938,4.30598,comp120,0
120,COc1cc(ccc1[O-])\C(=N/NC(=O)CSc2[nH+]nc(c3ccccc3)n2c4ccc(C)cc4)\C,MCULE-1168140477,-6.74877,4.25447,comp121,0
121,COc1ccc(CNc2nc(Nc3ccc4cn[nH]c4c3)nc(n2)N5CCCCCC5)cc1OC,MCULE-4903396212,-6.74546,6.07508,comp122,0
122,OC1CCN(CC1)c2nc(NCCCn3ccnc3)nc(Nc4ccc(Cl)c(c4)[N+](=O)[O-])n2,MCULE-8126711836,-6.68733,5.94505,comp123,0
123,COc1ccc(CNc2nc(Nc3ccc4[nH]ncc4c3)nc(n2)N5CCCCCC5)cc1OC,MCULE-8319986834,-6.67863,5.87476,comp124,0
124,NS(=O)(=O)c1ccc(CCNc2nc(Nc3ccc4cc[nH]c4c3)nc(n2)N5CC(O)C5)cc1,MCULE-2571904956,-6.64532,4.57461,comp125,0
125,Cc1nnnn1c2cccc(NC(=O)CC3N(Cc4ccc(F)cc4)CCNC3=O)c2,MCULE-3774431136 MolPort-045-967-517 PubChem-131932347,-6.47797,1.7835,comp126,0
126,Cn1ncc2c(Nc3ccc4nc[nH]c4c3)nc(NCc5ccc6OCOc6c5)nc12,MCULE-6026485088,-6.47411,4.26777,comp127,0
127,COc1ccc(OCCNc2nccc(Nc3ccc(cc3)C(=O)O)n2)cc1,MCULE-5637356585 PubChem-113193823,-6.41439,2.24546,comp128,0
